Events,,,,,,,,,,,,,,Players
30mins 1st half Round Towers Minor Footballers free/pen conceded ,,,,,,,,,,,,,,
30mins 1st half Whitehall Colmcilles point from play   Posn: 56:17,,,,,,,,,,,,,,
31mins 1st half Round Towers Minor Footballers own puck/kick out lost  Liam Redmond  Posn: 88:23,,,,,,,,,,,,,,
31mins 1st half Round Towers Minor Footballers free/pen conceded  Liam Redmond  Posn: 94:22,,,,,,,,,,,,,,
Half time score: Round Towers Minor Footballers 0-3(3)  Whitehall Colmcilles 3-5(14),,,,,,,,,,,,,,
Round Towers Minor Footballers  yellow card,,,,,,,,,,,,,,
2nd half start: 11:40   05-09-21 Round Towers Minor Footballers v. Whitehall Colmcilles,,,,,,,,,,,,,,
00mins 2nd half Round Towers Minor Footballers turnover won  Harry Leech,,,,,,,,,,,,,,
00mins 2nd half Whitehall Colmcilles free/pen conceded    Posn: 32:76,,,,,,,,,,,,,,
00mins 2nd half Round Towers Minor Footballers wide from free Harry Leech  Posn: 30:79,,,,,,,,,,,,,,
01mins 2nd half Whitehall Colmcilles own puck/kick out lost    Posn: 89:69,,,,,,,,,,,,,,
01mins 2nd half Whitehall Colmcilles free/pen conceded    Posn: 91:69,,,,,,,,,,,,,,
01mins 2nd half Whitehall Colmcilles turnover won  6  Posn: 52:88,,,,,,,,,,,,,,
02mins 2nd half Whitehall Colmcilles wide from play   Posn: 76:18,,,,,,,,,,,,,,
02mins 2nd half Round Towers Minor Footballers own puck/kick out won    Posn: 13:15,,,,,,,,,,,,,,
02mins 2nd half Whitehall Colmcilles turnover won    Posn: 88:68,,,,,,,,,,,,,,
03mins 2nd half Whitehall Colmcilles wide from play 15  Posn: 64:7,,,,,,,,,,,,,,
03mins 2nd half Round Towers Minor Footballers own puck/kick out won  Cathal Downey  Posn: 2:32,,,,,,,,,,,,,,
04mins 2nd half Whitehall Colmcilles free/pen conceded    Posn: 18:92,,,,,,,,,,,,,,
04mins 2nd half Round Towers Minor Footballers point from free Ciar?n Kirk  Posn: 25:89,,,,,,,,,,,,,,
05mins 2nd half Whitehall Colmcilles own puck/kick out won  11  Posn: 87:68,,,,,,,,,,,,,,
05mins 2nd half Round Towers Minor Footballers turnover won  Cathal Downey  Posn: 55:32,,,,,,,,,,,,,,
05mins 2nd half Whitehall Colmcilles turnover won  1,,,,,,,,,,,,,,
05mins 2nd half Round Towers Minor Footballers free/pen conceded  Pierce McDonald  Posn: 25:38,,,,,,,,,,,,,,
06mins 2nd half Whitehall Colmcilles short from play   Posn: 26:24,,,,,,,,,,,,,,
06mins 2nd half Round Towers Minor Footballers turnover won  Harry Warfield,,,,,,,,,,,,,,
06mins 2nd half Whitehall Colmcilles free/pen conceded    Posn: 28:63,,,,,,,,,,,,,,
07mins 2nd half Round Towers Minor Footballers point from play Mark Maguire  Posn: 62:16,,,,,,,,,,,,,,
07mins 2nd half Whitehall Colmcilles own puck/kick out won  9  Posn: 26:50,,,,,,,,,,,,,,
07mins 2nd half Round Towers Minor Footballers free/pen conceded    Posn: 83:18,,,,,,,,,,,,,,
07mins 2nd half Whitehall Colmcilles point    Posn: 59:7,,,,,,,,,,,,,,
08mins 2nd half Round Towers Minor Footballers own puck/kick out won  Craig Doherty  Posn: 18:40,,,,,,,,,,,,,,
08mins 2nd half Round Towers Minor Footballers free/pen conceded  Dean Farrell  Posn: 38:58,,,,,,,,,,,,,,
